date,ticker,company,open,high,low,close,volume
2022-01-03,META,Meta Platforms,334.06,335.53,332.73,332.84,14653506
2022-01-04,META,Meta Platforms,332.05,350.96,331.01,350.77,14355955
2022-01-05,META,Meta Platforms,351.18,353.17,332.21,332.72,13766479
2022-01-06,META,Meta Platforms,342.75,343.95,327.93,328.5,21565977
2022-01-07,META,Meta Platforms,323.3,334.95,322.87,334.41,15139272
2022-01-10,META,Meta Platforms,337.43,345.03,337.34,343.56,17133292
2022-01-11,META,Meta Platforms,341.54,341.93,325.7,327.19,15580743
2022-01-12,META,Meta Platforms,326.77,327.77,324.28,324.51,27519585
2022-01-13,META,Meta Platforms,323.05,324.56,300.99,302.8,17307829
2022-01-14,META,Meta Platforms,297.46,309.66,295.81,308.23,14206796
2022-01-17,META,Meta Platforms,311.74,312.22,299.17,300.53,21157919
2022-01-18,META,Meta Platforms,301.17,302.92,294.45,295.39,8357142
2022-01-19,META,Meta Platforms,295.86,304.44,293.64,302.9,18448686
2022-01-20,META,Meta Platforms,301.2,301.64,296.32,297.26,6699046
2022-01-21,META,Meta Platforms,302.18,303.25,300.36,300.41,13787696
2022-01-24,META,Meta Platforms,305.2,306.99,303.55,306.18,17557854
2022-01-25,META,Meta Platforms,309.78,313.72,309.36,313.03,10192111
2022-01-26,META,Meta Platforms,320.07,320.99,315.0,316.18,10459293
2022-01-27,META,Meta Platforms,318.1,325.9,316.75,325.35,27158411
2022-01-28,META,Meta Platforms,323.82,332.98,322.37,332.29,19513725
2022-01-31,META,Meta Platforms,331.75,338.24,329.18,337.05,15497153
2022-02-01,META,Meta Platforms,342.76,344.06,326.43,327.75,10753669
2022-02-02,META,Meta Platforms,321.82,327.15,321.55,326.83,14158638
2022-02-03,META,Meta Platforms,326.87,333.02,323.61,332.27,13239293
2022-02-04,META,Meta Platforms,331.4,332.06,320.44,321.43,12503392
2022-02-07,META,Meta Platforms,318.88,320.51,316.9,316.98,12794690
2022-02-08,META,Meta Platforms,315.73,322.07,315.58,322.0,12243974
2022-02-09,META,Meta Platforms,327.57,330.38,320.88,321.85,13183384
2022-02-10,META,Meta Platforms,322.33,325.5,321.97,323.61,18170342
2022-02-11,META,Meta Platforms,322.09,330.8,321.71,329.72,28514397
2022-02-14,META,Meta Platforms,329.5,342.06,328.36,342.05,27920068
2022-02-15,META,Meta Platforms,333.9,349.63,333.89,347.61,13991567
2022-02-16,META,Meta Platforms,346.47,347.38,345.39,345.87,23682555
2022-02-17,META,Meta Platforms,351.14,352.03,348.75,349.26,32369058
2022-02-18,META,Meta Platforms,352.1,352.34,345.73,347.72,33628864
2022-02-21,META,Meta Platforms,351.2,354.56,349.22,349.74,12789283
2022-02-22,META,Meta Platforms,351.11,351.52,338.3,338.82,14644072
2022-02-23,META,Meta Platforms,341.74,342.03,334.08,335.12,13667009
2022-02-24,META,Meta Platforms,331.46,347.92,330.88,346.6,10688586
2022-02-25,META,Meta Platforms,342.95,343.2,342.05,342.24,17945157
